label,address,name,asset
uniswap,0x97e7d56a0408570ba1a7852de36350f7713906ec,Uniswap V3,DAI-FRAX
uniswap,0xfda299cbcce3c9e71633dcebf9e10e4aba2b1e4f,Uniswap V2,FACE-USDT
uniswap,0xd6a309f49cf79542cea91df7b334eb4bd29aa0d7,Uniswap V3,USDC-STG
uniswap,0x2b1a1b9d6a50d225c84d1ae3624d3396e0b245e8,Uniswap V3,DAI-BEAN
uniswap,0x11181bd3baf5ce2a478e98361985d42625de35d1,Uniswap V2,ASTO-USDC
uniswap,0x16975d5bec8c0a797922a77e3be988ce805e46b2,Uniswap V2,CLUK-USDC
uniswap,0x8324be628543be4a8ee4448c1a269cad3da487f6,Uniswap V3,USDC-oneBTC 2
uniswap,0x613944734e29e73d084673d1532bff8683ed9a5b,Uniswap V3,oneUNI-USDC
uniswap,0x60b505862e717b37882471b6086e75eb10f7eca7,Uniswap V2,HOBA-USDC
uniswap,0x4177d19e4125213bdd8d82dbc1ca775799d18218,Uniswap V2,SD-USDC
uniswap,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Uniswap LP,USDC/ETH
uniswap,0x11b815efb8f581194ae79006d24e0d814b7697f6,Uniswap V3,USDT 3
uniswap,0xed9cd0662628d99b6b10e8b8faf19bf9634e8af9,Uniswap V3,PRTN-USDT 
uniswap,0x16b70f44719b227278a2dc1122e8106cc929ecd1,Uniswap V3,LUNA
uniswap,0xe859041c9c6d70177f83de991b9d757e13cea26e,Uniswap V3,HDRN-USDC 
uniswap,0xc5fbeee2488d1e8c31646015d34b6cc679d664b7,Uniswap V2,USDC-Tsukiyomi
uniswap,0x5777d92f208679db4b9778590fa3cab3ac9e2168,Uniswap V3,DAI-USDC 4
uniswap,0x7b28470032da06051f2e620531adbaeadb285408,Uniswap V2,MPL-USDC 
uniswap,0x64640bc81c7445cd9a592fdf5955c4b52c6c9783,Uniswap V2,GOB-USDT
uniswap,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,Uniswap V2,LUNA 3
uniswap,0x4d42fd2fe2eb1e4c7eec64272a1f715dce0ea535,Uniswap V2,USDC-Daruma
uniswap,0x25c0edc51909fc20429c6ece9b8f4fbb5af13878,Uniswap V3,ASIC-USDC 
uniswap,0xfad57d2039c21811c8f2b5d5b65308aa99d31559,Uniswap V3,LINK-USDC
uniswap,0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,Uniswap V3,HEX-USDC 3
uniswap,0xeb4b2b5e0eae7a0eadd0673ef8c3c830f8762f28,Uniswap V2,REQ-USDC
uniswap,0x5ad7452ceafdaeb0936507d5bb5890964ef56bd3,Uniswap V2,Okinami-USDC
uniswap,0xfe0df74636bc25c7f2400f22fe7dae32d39443d2,Uniswap V3,RBN-USDC 2
uniswap,0x38ff7fe3403a38a95d8da1706d6353225072f111,Uniswap V2,USDC-DODECA
uniswap,0x67cea36eeb36ace126a3ca6e21405258130cf33c,Uniswap V2,USDC-TSUKA
uniswap,0x0e183a9fec85c7c083c163a6f67ae8be3e140207,Uniswap V3,USDT-RBIS 
uniswap,0x11a708ded0fe503bbbf43d2baf403120dc5e145c,Uniswap V2,USDC-SPIRAL
uniswap,0xaae63df9a86f9a682507c922db38fae5e777a606,Uniswap V3,USDC-SWEAT
uniswap,0x3ed96d54be53868edbc3ad5ccc4995710d187dc4,Uniswap V3,APE-USDT 2
